City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Kenora,CA,2022-08-11 14:45:11,49.8167,-94.4337,63.57,63,20,5.75
99,Hasaki,JP,2022-08-11 14:47:05,35.7333,140.8333,81.28,87,44,24.52
100,Upernavik,GL,2022-08-11 14:47:06,72.7868,-56.1549,41.81,78,99,6.22
101,Mahebourg,MU,2022-08-11 14:47:07,-20.4081,57.7,69.26,88,75,18.41
102,The Valley,AI,2022-08-11 14:47:07,18.217,-63.0578,87.66,66,20,17.27
103,Saint Anthony,US,2022-08-11 14:47:08,45.0205,-93.218,72.95,66,0,6.91
104,Yellowknife,CA,2022-08-11 14:45:15,62.456,-114.3525,52.32,71,20,8.05
105,Cayenne,GF,2022-08-11 14:46:12,4.9333,-52.3333,89.64,15,75,5.75
106,Lahad Datu,MY,2022-08-11 14:47:11,5.0268,118.327,78.78,88,12,2.75
107,Sangar,RU,2022-08-11 14:47:11,63.9242,127.4739,57.7,91,6,1.32
108,Khatanga,RU,2022-08-11 14:47:12,71.9667,102.5,44.6,60,100,7.07
109,Severo-Kurilsk,RU,2022-08-11 14:47:12,50.6789,156.125,57.25,89,100,8.46
110,Hobart,AU,2022-08-11 14:45:30,-42.8794,147.3294,48.06,89,100,12.66
111,Talaban,PH,2022-08-11 14:47:14,10.1275,122.8697,79.21,85,88,2.93
112,Maykor,RU,2022-08-11 14:47:15,59.0059,55.88,60.17,77,100,5.1
113,Pulandian,CN,2022-08-11 14:47:15,39.3953,121.9669,68.97,91,0,1.19
114,Dubbo,AU,2022-08-11 14:47:16,-32.25,148.6167,51.93,93,100,11.5
115,Vostok,RU,2022-08-11 14:47:17,46.4856,135.8833,55.9,98,95,2.57
116,Bambous Virieux,MU,2022-08-11 14:47:18,-20.3428,57.7575,69.22,88,75,18.41
117,Srednekolymsk,RU,2022-08-11 14:47:18,67.45,153.6833,61.88,84,100,9.08
118,Macklin,CA,2022-08-11 14:47:19,52.3334,-109.9348,72.79,56,100,10.89
119,Hit,IQ,2022-08-11 14:47:20,33.6416,42.8251,102.78,16,0,15.59
120,Kharan,PK,2022-08-11 14:44:24,28.5833,65.4167,88.7,49,57,26.73
121,Castro,BR,2022-08-11 14:47:21,-24.7911,-50.0119,57.47,60,23,7.49
122,Touros,BR,2022-08-11 14:47:21,-5.1989,-35.4608,84.18,59,23,14.56
123,Teahupoo,PF,2022-08-11 14:47:22,-17.8333,-149.2667,66.16,75,10,11.83
124,Gari,RU,2022-08-11 14:47:23,59.4307,62.3497,61.72,72,100,8.77
125,Turukhansk,RU,2022-08-11 14:47:23,65.8167,87.9833,53.55,59,100,5.84
126,Bandarbeyla,SO,2022-08-11 14:47:24,9.4942,50.8122,78.3,80,88,27.11
127,Am Timan,TD,2022-08-11 14:47:25,11.0297,20.2827,78.69,74,87,8.12
128,Thompson,CA,2022-08-11 14:45:47,55.7435,-97.8558,62.76,59,20,8.05
129,Chapleau,CA,2022-08-11 14:47:26,47.8405,-83.4034,60.89,63,20,8.05
130,Cockburn Town,TC,2022-08-11 14:47:27,21.4612,-71.1419,81.54,73,8,14.52
131,San Patricio,US,2022-08-11 14:47:28,28.017,-97.5169,87.19,66,99,2.48
132,Saposoa,PE,2022-08-11 14:47:29,-6.934,-76.7716,74.21,77,57,2.44
133,Mana,GF,2022-08-11 14:47:29,5.6592,-53.7767,86.47,61,16,5.68
134,Port Lincoln,AU,2022-08-11 14:45:09,-34.7333,135.8667,54.07,74,47,20.65
135,Mogok,MM,2022-08-11 14:47:30,22.9167,96.5,66.27,97,64,2.51
136,Vila Velha,BR,2022-08-11 14:47:31,-20.3297,-40.2925,82.35,40,0,9.22
137,Varnamo,SE,2022-08-11 14:48:31,57.186,14.04,80.06,50,49,4.0
138,Nanortalik,GL,2022-08-11 14:48:32,60.1432,-45.2371,46.15,90,92,6.76
139,Souillac,MU,2022-08-11 14:48:33,-20.5167,57.5167,68.38,88,75,18.41
140,Narsaq,GL,2022-08-11 14:48:34,60.9167,-46.05,53.82,80,54,5.37
141,Lompoc,US,2022-08-11 14:48:34,34.6391,-120.4579,57.92,98,100,8.05
142,Pathein,MM,2022-08-11 14:45:40,16.7833,94.7333,78.3,88,100,8.9
143,Jurado,CO,2022-08-11 14:48:35,7.1053,-77.7641,77.09,91,99,4.68
144,Sioux Lookout,CA,2022-08-11 14:48:35,50.1001,-91.917,60.87,63,0,2.3
145,Sault Sainte Marie,CA,2022-08-11 14:47:05,46.5168,-84.3333,64.69,65,0,11.5
146,Taoudenni,ML,2022-08-11 14:48:36,22.6783,-3.9836,113.23,7,0,2.91
147,Rocha,UY,2022-08-11 14:46:26,-34.4833,-54.3333,60.06,66,0,7.56
148,Erdenet,MN,2022-08-11 14:48:37,49.0333,104.0833,57.33,82,76,1.32
149,San Cristobal,VE,2022-08-11 14:48:37,7.7669,-72.225,80.78,43,18,8.01
150,East London,ZA,2022-08-11 14:48:38,-33.0153,27.9116,65.34,77,0,5.75
151,Tshikapa,CD,2022-08-11 14:48:39,-6.4167,20.8,98.37,10,82,4.74
152,Nova Vicosa,BR,2022-08-11 14:44:59,-17.8919,-39.3719,81.32,44,92,8.39
153,Kastamonu,TR,2022-08-11 14:48:39,41.5,33.6667,74.08,51,2,13.11
154,Puerto Leguizamo,CO,2022-08-11 14:48:40,-0.1934,-74.7819,72.45,97,100,4.14
155,Khasan,RU,2022-08-11 14:48:41,42.4308,130.6434,69.62,86,93,3.83
156,Marystown,CA,2022-08-11 14:48:41,47.1666,-55.1483,61.0,76,95,11.21
157,Tuatapere,NZ,2022-08-11 14:48:42,-46.1333,167.6833,33.71,91,10,3.62
158,Matagami,CA,2022-08-11 14:48:42,49.7502,-77.6328,50.11,100,100,11.5
159,Rajgarh,IN,2022-08-11 14:48:43,28.6333,75.3833,85.87,60,100,15.43
160,Bagotville,AU,2022-08-11 14:48:43,-28.9833,153.4167,55.85,99,100,5.95
161,Skeldon,GY,2022-08-11 14:48:44,5.8833,-57.1333,88.52,58,0,4.88
162,Lulea,SE,2022-08-11 14:48:44,65.5842,22.1547,68.07,37,0,16.11
163,Santa Vitoria Do Palmar,BR,2022-08-11 14:48:45,-33.5189,-53.3681,59.0,71,0,5.93
164,Sumbe,AO,2022-08-11 14:48:46,-11.2061,13.8437,72.79,75,6,9.82
165,Jacareacanga,BR,2022-08-11 14:48:46,-6.2222,-57.7528,93.51,33,69,3.94
166,Ribeira Grande,PT,2022-08-11 14:48:47,38.5167,-28.7,75.6,78,20,8.05
167,Chara,RU,2022-08-11 14:48:47,56.9064,118.2631,53.51,80,15,4.18
168,Ilulissat,GL,2022-08-11 14:48:48,69.2167,-51.1,42.82,93,100,6.91
169,Lata,PT,2022-08-11 14:48:48,40.1629,-8.3327,84.49,46,0,11.63
170,Cidreira,BR,2022-08-11 14:48:49,-30.1811,-50.2056,62.58,64,0,2.21
171,Korla,CN,2022-08-11 14:48:49,41.7597,86.1469,91.11,21,95,16.64
172,Arraial Do Cabo,BR,2022-08-11 14:48:50,-22.9661,-42.0278,71.56,78,40,33.38
173,Laem Sing,TH,2022-08-11 14:48:50,12.4816,102.0738,82.15,86,100,11.32
174,Rio Grande,BR,2022-08-11 14:48:51,-32.035,-52.0986,62.71,74,1,3.91
175,Hutchinson,US,2022-08-11 14:46:06,38.0608,-97.9298,78.75,65,0,9.22
176,Launceston,AU,2022-08-11 14:48:52,-41.45,147.1667,46.62,97,40,3.44
